"PublYearMonth","Company","PSOE","PP","VOX","UP","Cs","ERC","CC","Uncertain","n","PublDate","collectPeriodFrom","collectPeriodTo","approxPeriod","house"
"2019-oct","Ipsos",0.26,0.194,0.14,0.13,0.1,0.035,NA,NA,2000,NA,2019-10-28,2019-10-29,FALSE,"Ipsos"
"2019-oct","electoPanel",0.269,0.218,0.124,0.127,0.091,NA,NA,NA,1250,NA,2019-10-28,2019-10-29,FALSE,"electoPanel"
"2019-oct","Hamalgama Métrica",0.271,0.225,0.121,0.126,0.09,0.039,0.006,NA,1000,NA,2019-10-25,2019-10-29,FALSE,"Hamalgama Métrica"
"2019-oct","40dB",0.273,0.212,0.137,0.124,0.083,NA,NA,NA,2002,NA,2019-10-23,2019-10-29,FALSE,"40dB"
"2019-oct","Sigma Dos",0.275,0.206,0.134,0.135,0.089,0.04,NA,NA,1800,NA,2019-10-21,2019-10-29,FALSE,"Sigma Dos"
"2019-oct","electoPanel",0.266,0.218,0.126,0.127,0.09,0.041,0.006,NA,1250,NA,2019-10-27,2019-10-28,FALSE,"electoPanel"
"2019-oct","Sigma Dos",0.271,0.204,0.133,0.132,0.089,0.045,NA,NA,NA,NA,2019-10-27,2019-10-27,FALSE,"Sigma Dos"
"2019-oct","SyM Consulting",0.271,0.222,0.138,0.096,0.103,0.035,NA,NA,1923,NA,2019-10-26,2019-10-27,FALSE,"SyM Consulting"
"2019-oct","electoPanel",0.266,0.216,0.127,0.126,0.091,NA,NA,NA,1250,NA,2019-10-26,2019-10-27,FALSE,"electoPanel"
"2019-oct","KeyData",0.276,0.215,0.107,0.123,0.102,0.039,0.005,NA,NA,NA,2019-10-26,2019-10-26,FALSE,"KeyData"
"2019-oct","electoPanel",0.272,0.222,0.118,0.122,0.093,0.039,0.006,NA,1250,NA,2019-10-25,2019-10-26,FALSE,"electoPanel"
"2019-oct","SocioMétrica",0.255,0.21,0.122,0.122,0.093,0.036,0.004,NA,1100,NA,2019-10-24,2019-10-26,FALSE,"SocioMétrica"
"2019-oct","electoPanel",0.276,0.222,0.113,0.12,0.094,NA,NA,NA,1250,NA,2019-10-24,2019-10-25,FALSE,"electoPanel"
"2019-oct","Hamalgama Métrica",0.269,0.227,0.117,0.127,0.092,0.039,0.004,NA,1000,NA,2019-10-22,2019-10-25,FALSE,"Hamalgama Métrica"
"2019-oct","Invymark",0.286,0.217,0.1,0.115,0.106,NA,NA,NA,NA,NA,2019-10-21,2019-10-25,FALSE,"Invymark"
"2019-oct","NC Report",0.275,0.23,0.113,0.121,0.09,0.04,NA,NA,1000,NA,2019-10-16,2019-10-25,FALSE,"NC Report"
"2019-oct","electoPanel",0.279,0.223,0.113,0.12,0.094,0.04,0.006,NA,1250,NA,2019-10-23,2019-10-24,FALSE,"electoPanel"
"2019-oct","GAD3",0.273,0.217,0.135,0.127,0.089,0.032,0.004,NA,2730,NA,2019-10-21,2019-10-24,FALSE,"GAD3"
"2019-oct","Celeste-Tel",0.277,0.222,0.105,0.129,0.1,0.04,0.007,NA,1100,NA,2019-10-21,2019-10-24,FALSE,"Celeste-Tel"
"2019-oct","Sigma Dos",0.27,0.208,0.13,0.131,0.086,0.044,NA,NA,1600,NA,2019-10-16,2019-10-24,FALSE,"Sigma Dos"
"2019-oct","electoPanel",0.276,0.221,0.109,0.122,0.099,NA,NA,NA,1250,NA,2019-10-22,2019-10-23,FALSE,"electoPanel"
"2019-oct","electoPanel",0.272,0.221,0.108,0.126,0.099,0.039,0.006,NA,1250,NA,2019-10-21,2019-10-22,FALSE,"electoPanel"
"2019-oct","Hamalgama Métrica",0.265,0.228,0.111,0.129,0.098,0.04,NA,NA,1000,NA,2019-10-18,2019-10-22,FALSE,"Hamalgama Métrica"
"2019-oct","Sigma Dos",0.273,0.214,0.12,0.127,0.088,0.042,NA,NA,1600,NA,2019-10-11,2019-10-22,FALSE,"Sigma Dos"
"2019-oct","electoPanel",0.269,0.221,0.107,0.127,0.1,NA,NA,NA,1250,NA,2019-10-20,2019-10-21,FALSE,"electoPanel"
"2019-oct","electoPanel",0.269,0.223,0.106,0.128,0.1,0.04,0.006,NA,1250,NA,2019-10-19,2019-10-20,FALSE,"electoPanel"
"2019-oct","electoPanel",0.267,0.224,0.105,0.129,0.101,NA,NA,NA,1250,NA,2019-10-18,2019-10-19,FALSE,"electoPanel"
"2019-oct","electoPanel",0.268,0.223,0.103,0.129,0.1,0.041,0.006,NA,1250,NA,2019-10-17,2019-10-18,FALSE,"electoPanel"
"2019-oct","Hamalgama Métrica",0.264,0.227,0.107,0.131,0.1,0.04,0.006,NA,1000,NA,2019-10-16,2019-10-18,FALSE,"Hamalgama Métrica"
"2019-oct","GAD3",0.287,0.23,0.119,0.112,0.083,0.038,0.003,NA,3233,NA,2019-10-14,2019-10-18,FALSE,"GAD3"
"2019-oct","Invymark",0.296,0.206,0.09,0.113,0.112,NA,NA,NA,NA,NA,2019-10-14,2019-10-18,FALSE,"Invymark"
"2019-oct","SocioMétrica",0.261,0.215,0.117,0.118,0.097,0.033,0.003,NA,NA,NA,2019-10-14,2019-10-18,FALSE,"SocioMétrica"
"2019-oct","NC Report",0.272,0.228,0.106,0.127,0.098,0.041,NA,NA,NA,NA,2019-10-09,2019-10-18,FALSE,"NC Report"
"2019-oct","electoPanel",0.275,0.219,0.104,0.128,0.097,NA,NA,NA,1250,NA,2019-10-16,2019-10-17,FALSE,"electoPanel"
"2019-oct","Ipsos",0.267,0.217,0.118,0.123,0.094,0.04,NA,NA,2000,NA,2019-10-15,2019-10-17,FALSE,"Ipsos"
"2019-oct","Celeste-Tel",0.27,0.223,0.091,0.134,0.111,0.042,0.007,NA,1100,NA,2019-10-14,2019-10-17,FALSE,"Celeste-Tel"
"2019-oct","Sigma Dos",0.27,0.21,0.115,0.125,0.096,0.042,NA,NA,1600,NA,2019-10-10,2019-10-17,FALSE,"Sigma Dos"
"2019-oct","KeyData",0.282,0.207,0.103,0.122,0.108,0.039,0.005,NA,NA,NA,2019-10-16,2019-10-16,FALSE,"KeyData"
"2019-oct","electoPanel",0.277,0.214,0.109,0.124,0.095,0.039,0.006,NA,1250,NA,2019-10-15,2019-10-16,FALSE,"electoPanel"
"2019-oct","electoPanel",0.274,0.216,0.108,0.125,0.093,NA,NA,NA,1250,NA,2019-10-14,2019-10-15,FALSE,"electoPanel"
"2019-oct","Hamalgama Métrica",0.265,0.227,0.101,0.133,0.102,0.042,NA,NA,1000,NA,2019-10-11,2019-10-15,FALSE,"Hamalgama Métrica"
"2019-oct","Sigma Dos",0.271,0.212,0.113,0.128,0.093,0.042,NA,NA,1600,NA,2019-10-07,2019-10-15,FALSE,"Sigma Dos"
"2019-oct","CIS",0.322,0.181,0.079,0.146,0.106,0.044,0.003,NA,17650,NA,2019-09-21,2019-10-13,FALSE,"CIS"
"2019-oct","Llorente & Cuenca",0.258,0.21,0.085,0.109,0.108,NA,NA,NA,NA,NA,2019-10-09,2019-10-12,FALSE,"Llorente & Cuenca"
"2019-oct","SocioMétrica",0.274,0.209,0.105,0.123,0.093,0.032,0.003,NA,1000,NA,2019-10-09,2019-10-12,FALSE,"SocioMétrica"
"2019-oct","electoPanel",0.275,0.22,0.105,0.12,0.09,0.04,0.006,NA,1250,NA,2019-10-09,2019-10-12,FALSE,"electoPanel"
"2019-oct","Celeste-Tel",0.273,0.222,0.084,0.137,0.114,0.042,0.007,NA,1100,NA,2019-10-07,2019-10-11,FALSE,"Celeste-Tel"
"2019-oct","GAD3",0.284,0.222,0.118,0.119,0.086,0.032,0.003,NA,3121,NA,2019-10-07,2019-10-11,FALSE,"GAD3"
"2019-oct","Hamalgama Métrica",0.264,0.225,0.098,0.134,0.106,0.042,0.006,NA,1000,NA,2019-10-07,2019-10-10,FALSE,"Hamalgama Métrica"
"2019-oct","Sigma Dos",0.275,0.206,0.107,0.132,0.098,0.04,NA,NA,1600,NA,2019-10-02,2019-10-10,FALSE,"Sigma Dos"
"2019-oct","electoPanel",0.279,0.225,0.098,0.121,0.089,0.039,0.006,NA,2000,NA,2019-10-06,2019-10-08,FALSE,"electoPanel"
"2019-oct","Sigma Dos",0.279,0.213,0.102,0.126,0.1,0.036,NA,NA,1600,NA,2019-09-30,2019-10-08,FALSE,"Sigma Dos"
"2019-oct","electoPanel",0.264,0.224,0.087,0.121,0.101,NA,NA,NA,NA,NA,2019-10-02,2019-10-05,FALSE,"electoPanel"
"2019-oct","KeyData",0.284,0.2,0.091,0.121,0.116,0.036,0.004,NA,NA,NA,2019-10-04,2019-10-04,FALSE,"KeyData"
"2019-oct","Celeste-Tel",0.272,0.218,0.075,0.139,0.122,0.042,0.007,NA,1100,NA,2019-10-01,2019-10-04,FALSE,"Celeste-Tel"
"2019-oct","Simple Lógica",0.291,0.191,0.122,0.125,0.1,NA,NA,NA,1046,NA,2019-10-01,2019-10-04,FALSE,"Simple Lógica"
"2019-oct","SocioMétrica",0.272,0.207,0.109,0.117,0.106,0.035,0.004,NA,1000,NA,2019-10-01,2019-10-04,FALSE,"SocioMétrica"
"2019-oct","GAD3",0.272,0.209,0.106,0.124,0.11,0.038,0.003,NA,3121,NA,2019-09-30,2019-10-04,FALSE,"GAD3"
"2019-oct","Hamalgama Métrica",0.261,0.221,0.085,0.135,0.117,0.043,0.006,NA,900,NA,2019-09-30,2019-10-04,FALSE,"Hamalgama Métrica"
"2019-oct","Invymark",0.299,0.205,0.077,0.112,0.117,NA,NA,NA,NA,NA,2019-09-30,2019-10-04,FALSE,"Invymark"
"2019-oct","IMOP",0.283,0.201,0.108,0.12,0.107,0.033,NA,NA,1227,NA,2019-10-01,2019-10-03,FALSE,"IMOP"
"2019-oct","GESOP",0.28,0.196,0.103,0.122,0.104,0.032,NA,NA,1005,NA,2019-09-30,2019-10-03,FALSE,"GESOP"
"2019-oct","Sigma Dos",0.289,0.212,0.092,0.122,0.101,0.038,NA,NA,1000,NA,2019-09-30,2019-10-02,FALSE,"Sigma Dos"
"2019-oct","electoPanel",0.26,0.224,0.087,0.123,0.105,0.04,0.006,NA,1200,NA,2019-09-28,2019-10-01,FALSE,"electoPanel"
"2019-sep","GAD3",0.278,0.214,0.095,0.117,0.115,0.04,0.003,NA,NA,NA,2019-09-27,2019-09-29,FALSE,"GAD3"
"2019-sep","electoPanel",0.252,0.217,0.087,0.116,0.113,0.042,0.007,NA,3000,NA,2019-09-22,2019-09-27,FALSE,"electoPanel"
"2019-sep","Sondaxe",0.261,0.191,0.101,0.121,0.103,NA,NA,NA,1001,NA,2019-09-23,2019-09-26,FALSE,"Sondaxe"
"2019-sep","GAD3",0.272,0.214,0.096,0.124,0.113,0.039,0.004,NA,1207,NA,2019-09-23,2019-09-25,FALSE,"GAD3"
"2019-sep","Celeste-Tel",0.294,0.221,0.07,0.141,0.134,0.042,0.006,NA,1100,NA,2019-09-19,2019-09-23,FALSE,"Celeste-Tel"
"2019-sep","NC Report",0.286,0.22,0.075,0.136,0.137,NA,NA,NA,1000,NA,2019-09-18,2019-09-21,FALSE,"NC Report"
"2019-sep","Ipsos",0.28,0.198,0.098,0.152,0.142,0.037,NA,NA,1837,NA,2019-09-18,2019-09-20,FALSE,"Ipsos"
"2019-sep","SocioMétrica",0.286,0.194,0.1,0.145,0.119,0.042,0.006,NA,1000,NA,2019-09-18,2019-09-20,FALSE,"SocioMétrica"
"2019-sep","40dB",0.303,0.235,0.086,0.14,0.133,NA,NA,NA,1544,NA,2019-09-18,2019-09-20,FALSE,"40dB"
"2019-sep","GAD3",0.316,0.203,0.096,0.134,0.131,0.034,NA,NA,1006,NA,2019-09-16,2019-09-20,FALSE,"GAD3"
"2019-sep","Invymark",0.334,0.202,0.068,0.125,0.121,NA,NA,NA,NA,NA,2019-09-16,2019-09-20,FALSE,"Invymark"
"2019-sep","electoPanel",0.277,0.21,0.096,0.138,0.13,0.044,0.005,NA,1000,NA,2019-09-17,2019-09-18,FALSE,"electoPanel"
"2019-sep","CIS (SocioMétrica)",0.294,0.199,0.097,0.154,0.133,0.038,0.003,NA,5906,NA,2019-09-01,2019-09-18,FALSE,"CIS (SocioMétrica)"
"2019-sep","CIS (Gravitas)",0.293,0.168,0.104,0.16,0.132,NA,NA,NA,5906,NA,2019-09-01,2019-09-18,FALSE,"CIS (Gravitas)"
"2019-sep","CIS",0.342,0.171,0.075,0.155,0.129,0.037,0.002,NA,5906,NA,2019-09-01,2019-09-18,FALSE,"CIS"
"2019-sep","electoPanel",0.284,0.208,0.097,0.135,0.127,0.045,0.005,NA,1200,NA,2019-09-10,2019-09-15,FALSE,"electoPanel"
"2019-sep","Demoscopia Servicios",0.318,0.206,0.07,0.127,0.14,NA,NA,NA,NA,NA,2019-09-12,2019-09-14,FALSE,"Demoscopia Servicios"
"2019-sep","Invymark",0.339,0.2,0.07,0.123,0.117,NA,NA,NA,NA,NA,2019-09-09,2019-09-13,FALSE,"Invymark"
"2019-sep","DYM",0.298,0.184,0.102,0.146,0.133,NA,NA,NA,1001,NA,2019-09-09,2019-09-12,FALSE,"DYM"
"2019-sep","KeyData",0.312,0.193,0.084,0.137,0.136,0.039,0.005,NA,NA,NA,2019-09-06,2019-09-06,FALSE,"KeyData"
"2019-sep","Simple Lógica",0.306,0.184,0.121,0.138,0.136,NA,NA,NA,1089,NA,2019-09-02,2019-09-06,FALSE,"Simple Lógica"
"2019-sep","GAD3",0.321,0.199,0.079,0.133,0.14,0.038,NA,NA,1000,NA,2019-09-02,2019-09-06,FALSE,"GAD3"
"2019-sep","Invymark",0.344,0.201,0.067,0.122,0.115,NA,NA,NA,NA,NA,2019-09-02,2019-09-06,FALSE,"Invymark"
"2019-sep","Celeste-Tel",0.305,0.201,0.08,0.137,0.141,0.043,0.006,NA,1100,NA,2019-09-02,2019-09-05,FALSE,"Celeste-Tel"
"2019-aug","SocioMétrica",0.313,0.181,0.097,0.139,0.122,0.041,0.004,NA,1100,NA,2019-08-27,2019-08-30,FALSE,"SocioMétrica"
"2019-aug","Sigma Dos",0.334,0.19,0.083,0.142,0.118,0.043,NA,NA,1000,NA,2019-08-27,2019-08-29,FALSE,"Sigma Dos"
"2019-aug","NC Report",0.295,0.219,0.077,0.131,0.139,0.036,0.006,NA,1000,NA,2019-08-20,2019-08-24,FALSE,"NC Report"
"2019-aug","electoPanel",0.293,0.21,0.09,0.132,0.125,0.045,0.006,NA,2500,NA,2019-08-01,2019-08-15,FALSE,"electoPanel"
"2019-aug","NC Report",0.297,0.218,0.078,0.129,0.141,0.035,0.007,NA,NA,NA,2019-08-11,2019-08-11,FALSE,"NC Report"
"2019-aug","Celeste-Tel",0.309,0.202,0.083,0.134,0.143,0.037,0.006,NA,1100,NA,2019-08-01,2019-08-07,FALSE,"Celeste-Tel"
"2019-aug","KeyData",0.315,0.187,0.076,0.134,0.144,NA,NA,NA,NA,NA,2019-08-05,2019-08-05,FALSE,"KeyData"
"2019-aug","Simple Lógica",0.314,0.172,0.11,0.138,0.149,NA,NA,NA,1074,NA,2019-08-01,2019-08-05,FALSE,"Simple Lógica"
"2019-aug","Invymark",0.361,0.17,0.065,0.123,0.126,NA,NA,NA,NA,NA,2019-07-29,2019-08-01,FALSE,"Invymark"
"2019-jul","SocioMétrica",0.293,0.182,0.087,0.143,0.162,NA,NA,NA,1000,NA,2019-07-25,2019-07-26,FALSE,"SocioMétrica"
"2019-jul","electoPanel",0.292,0.208,0.095,0.132,0.123,NA,NA,NA,1200,NA,2019-07-24,2019-07-26,FALSE,"electoPanel"
