"PublYearMonth","Company","M","L","C","KD","S","V","MP","SD","FI","Uncertain","n","PublDate","collectPeriodFrom","collectPeriodTo","approxPeriod","house"
"2020-mar","Ipsos",0.1881188,0.04950495,0.06930693,0.05940594,0.2475248,0.11881188,0.03960396,0.2178218,NA,12,1566,2020-03-25,2020-03-10,2020-03-22,FALSE,"Ipsos"
"2020-mar","Novus",0.18,0.038,0.081,0.065,0.256,0.098,0.045,0.22,NA,6.8,3737,2020-03-25,2020-02-24,2020-03-22,FALSE,"Novus"
"2020-mar","Sifo",0.18,0.041,0.084,0.068,0.238,0.112,0.04,0.222,NA,12.1,7839,2020-03-13,2020-03-02,2020-03-12,FALSE,"Sifo"
"2020-mar","Demoskop",0.195,0.041,0.094,0.075,0.226,0.104,0.031,0.221,NA,NA,NA,2020-03-07,2020-02-25,2020-03-03,FALSE,"Demoskop"
"2020-feb","Sentio",0.196,0.018,0.079,0.053,0.215,0.111,0.036,0.278,NA,NA,NA,2020-02-26,2020-02-21,2020-02-24,FALSE,"Sentio"
"2020-feb","Ipsos",0.18,0.04,0.08,0.08,0.22,0.11,0.05,0.23,NA,11,1535,2020-02-26,2020-02-11,2020-02-23,FALSE,"Ipsos"
"2020-feb","Novus",0.18,0.039,0.081,0.059,0.232,0.109,0.045,0.239,NA,5.2,3098,2020-02-20,2020-01-27,2020-02-16,FALSE,"Novus"
"2020-feb","Demoskop",0.189,0.032,0.089,0.063,0.247,0.093,0.038,0.235,NA,NA,2148,2020-02-07,2020-01-25,2020-02-05,FALSE,"Demoskop"
"2020-feb","Sifo",0.175,0.044,0.081,0.061,0.236,0.114,0.042,0.233,NA,NA,NA,2020-02-14,2020-02-03,2020-02-13,FALSE,"Sifo"
"2020-jan","Skop",0.174,0.038,0.096,0.067,0.231,0.107,0.041,0.233,NA,3,1009,2020-01-30,2020-01-14,2020-01-24,FALSE,"Skop"
"2020-jan","Sentio",0.166,0.024,0.07,0.078,0.221,0.097,0.04,0.288,NA,NA,NA,2020-01-30,2020-01-24,2020-01-28,TRUE,"Sentio"
"2020-jan","Novus",0.183,0.035,0.087,0.061,0.242,0.104,0.046,0.226,NA,6.5,4414,2020-01-30,2020-01-07,2020-01-26,FALSE,"Novus"
"2020-jan","Ipsos",0.17,0.04,0.09,0.07,0.23,0.11,0.04,0.24,NA,11,NA,2020-01-28,2020-01-14,2020-01-27,FALSE,"Ipsos"
"2020-jan","Sifo",0.175,0.039,0.085,0.066,0.235,0.102,0.045,0.238,NA,NA,NA,2020-01-17,2020-01-02,2020-01-15,TRUE,"Sifo"
"2020-jan","Demoskop",0.182,0.031,0.095,0.059,0.234,0.09,0.048,0.245,NA,NA,2112,2020-01-10,2019-12-30,2020-01-07,FALSE,"Demoskop"
"2019-dec","Ipsos",0.16,0.05,0.08,0.06,0.25,0.1,0.05,0.24,NA,11,1572,2019-12-19,2019-12-03,2019-12-15,FALSE,"Ipsos"
"2019-dec","Sentio",0.165,0.032,0.068,0.063,0.211,0.101,0.045,0.291,NA,NA,793,2019-12-20,2019-12-13,2019-12-18,FALSE,"Sentio"
"2019-dec","Novus",0.179,0.035,0.083,0.062,0.237,0.099,0.05,0.24,NA,5.9,3994,2019-12-19,2019-11-18,2019-12-15,FALSE,"Novus"
"2019-dec","Sifo",0.172,0.04,0.08,0.06,0.246,0.097,0.047,0.244,NA,11.6,8214,2019-12-13,2019-12-02,2019-12-12,FALSE,"Sifo"
"2019-dec","Demoskop",0.175,0.039,0.096,0.059,0.243,0.079,0.044,0.254,NA,NA,2048,2019-12-06,2019-11-26,2019-12-04,FALSE,"Demoskop"
"2019-dec","SCB",0.183,0.041,0.073,0.066,0.263,0.081,0.051,0.226,NA,15,4645,2019-12-03,2019-10-28,2019-11-26,FALSE,"SCB"
"2019-nov","Ipsos",0.17,0.03,0.08,0.07,0.25,0.08,0.05,0.25,NA,11,1551,2019-11-26,2019-11-11,2019-11-24,FALSE,"Ipsos"
"2019-nov","Novus",0.183,0.034,0.078,0.071,0.26,0.093,0.048,0.215,NA,6,3619,2019-11-21,2019-10-21,2019-11-17,FALSE,"Novus"
"2019-nov","Sentio",0.169,0.025,0.07,0.068,0.225,0.085,0.049,0.285,NA,NA,NA,2019-11-20,2019-11-15,2019-11-19,FALSE,"Sentio"
"2019-nov","Sifo",0.17,0.036,0.083,0.079,0.244,0.097,0.047,0.23,NA,11.2,8175,2019-11-15,2019-11-04,2019-11-14,FALSE,"Sifo"
"2019-nov","Demoskop",0.178,0.039,0.077,0.076,0.222,0.098,0.048,0.24,NA,4.3,2048,2019-11-15,2019-11-04,2019-11-13,FALSE,"Demoskop"
"2019-okt","Sentio",0.168,0.047,0.064,0.064,0.242,0.096,0.042,0.254,NA,NA,NA,2019-10-25,2019-10-18,2019-10-24,TRUE,"Sentio"
"2019-okt","Novus",0.195,0.037,0.085,0.07,0.258,0.084,0.05,0.205,NA,6.3,7968,2019-10-24,2019-09-26,2019-10-22,TRUE,"Novus"
"2019-okt","Ipsos",0.16,0.04,0.08,0.08,0.24,0.1,0.05,0.23,NA,12,1569,2019-10-23,2019-10-08,2019-10-21,FALSE,"Ipsos"
"2019-okt","Sifo",0.177,0.039,0.084,0.067,0.249,0.092,0.05,0.227,NA,12.3,8949,2019-10-18,2019-10-07,2019-10-17,FALSE,"Sifo"
"2019-okt","Inizio",0.193,0.032,0.101,0.065,0.247,0.08,0.042,0.226,NA,NA,2132,2019-10-17,2019-10-08,2019-10-14,FALSE,"Inizio"
"2019-okt","Demoskop",0.195,0.039,0.083,0.066,0.231,0.086,0.05,0.228,NA,8.4,1611,2019-10-04,2019-09-24,2019-10-01,FALSE,"Demoskop"
"2019-sep","Sentio",0.171,0.039,0.061,0.06,0.239,0.094,0.039,0.275,NA,23,1008,2019-09-26,2019-09-20,2019-09-24,FALSE,"Sentio"
"2019-sep","Inizio",0.19,0.035,0.099,0.06,0.239,0.085,0.042,0.225,NA,NA,2097,2019-09-26,2019-09-20,2019-09-25,FALSE,"Inizio"
"2019-sep","Novus",0.204,0.035,0.08,0.068,0.247,0.092,0.049,0.207,NA,6.8,3716,2019-09-26,2019-08-26,2019-09-22,FALSE,"Novus"
"2019-sep","Ipsos",0.19,0.05,0.09,0.07,0.26,0.09,0.05,0.19,NA,11,1346,2019-09-25,2019-09-10,2019-09-18,FALSE,"Ipsos"
"2019-sep","Sifo",0.189,0.042,0.086,0.073,0.258,0.085,0.051,0.202,NA,12.3,8949,2019-09-13,2019-09-02,2019-09-12,FALSE,"Sifo"
"2019-sep","Demoskop",0.194,0.046,0.084,0.065,0.24,0.084,0.049,0.214,NA,7.5,1611,2019-09-05,2019-08-27,2019-09-03,FALSE,"Demoskop"
"2019-aug","Inizio",0.183,0.042,0.094,0.077,0.255,0.079,0.042,0.21,NA,NA,2015,2019-08-30,2019-08-22,2019-08-28,FALSE,"Inizio"
"2019-aug","Sentio",0.183,0.054,0.061,0.058,0.232,0.105,0.047,0.235,NA,NA,793,2019-08-29,2019-08-22,2019-08-27,FALSE,"Sentio"
"2019-aug","Ipsos",0.17,0.05,0.08,0.07,0.26,0.1,0.06,0.19,NA,NA,1346,2019-08-28,2019-08-13,2019-08-25,FALSE,"Ipsos"
"2019-aug","Novus",0.185,0.037,0.094,0.072,0.263,0.09,0.056,0.184,NA,NA,2660,2019-08-27,2019-08-05,2019-08-25,FALSE,"Novus"
"2019-aug","Sifo",0.191,0.038,0.088,0.084,0.268,0.087,0.049,0.182,NA,NA,6316,2019-08-16,2019-08-05,2019-08-15,FALSE,"Sifo"
"2019-aug","Inizio",0.196,0.036,0.103,0.073,0.256,0.085,0.036,0.197,NA,NA,2076,2019-08-12,2019-08-01,2019-08-08,FALSE,"Inizio"
"2019-jul","Demoskop",0.176,0.041,0.093,0.08,0.259,0.079,0.053,0.196,NA,NA,1608,2019-07-03,2019-06-24,2019-07-01,FALSE,"Demoskop"
"2019-jul","Skop",0.17,0.057,0.095,0.092,0.256,0.089,0.047,0.18,NA,3,1048,2019-07-20,2019-06-25,2019-07-16,FALSE,"Skop"
"2019-jun","Novus",0.188,0.036,0.101,0.077,0.267,0.09,0.059,0.167,NA,NA,2746,2019-06-27,2019-06-03,2019-06-23,FALSE,"Novus"
"2019-jun","Inizio",0.197,0.036,0.094,0.07,0.254,0.083,0.05,0.194,NA,NA,2147,2019-06-27,2019-06-20,2019-06-26,TRUE,"Inizio"
"2019-jun","Sentio",0.17,0.037,0.074,0.079,0.257,0.088,0.048,0.218,NA,NA,NA,2019-06-21,2019-06-03,2019-06-13,FALSE,"Sentio"
"2019-jun","Ipsos",0.17,0.05,0.09,0.08,0.25,0.1,0.05,0.19,NA,NA,1630,2019-06-20,2019-06-02,2019-06-15,FALSE,"Ipsos"
"2019-jun","Sifo",0.184,0.037,0.088,0.095,0.265,0.086,0.049,0.181,NA,NA,9261,2019-06-14,2019-06-03,2019-06-13,FALSE,"Sifo"
"2019-jun","Demoskop",0.182,0.038,0.089,0.075,0.271,0.08,0.051,0.199,NA,NA,1614,2019-06-07,2019-05-26,2019-06-03,TRUE,"Demoskop"
"2019-jun","Skop",0.164,0.04,0.096,0.128,0.253,0.105,0.037,0.169,NA,3,1938,2019-06-08,2019-05-19,2019-05-24,FALSE,"Skop"
"2019-jun","Novus",0.177,0.041,0.087,0.1,0.259,0.09,0.055,0.176,NA,NA,3644,2019-06-06,2019-05-06,2019-06-02,FALSE,"Novus"
"2019-jun","SCB",0.16,0.037,0.069,0.13,0.276,0.087,0.056,0.171,NA,11,9092,2019-06-02,2019-04-29,2019-05-28,FALSE,"SCB"
"2019-maj","Ipsos",0.16,0.04,0.09,0.12,0.26,0.1,0.04,0.17,NA,9,1341,2019-05-21,2019-05-06,2019-05-21,FALSE,"Ipsos"
"2019-maj","Inizio",0.182,0.03,0.101,0.09,0.261,0.083,0.044,0.184,NA,NA,2147,2019-05-31,2019-05-21,2019-05-28,FALSE,"Inizio"
"2019-maj","Sentio",0.155,0.033,0.068,0.104,0.25,0.101,0.047,0.212,NA,NA,1007,2019-05-24,2019-05-17,2019-05-21,FALSE,"Sentio"
"2019-maj","Sifo",0.159,0.038,0.082,0.12,0.27,0.089,0.045,0.181,NA,13.6,9626,2019-05-17,2019-05-06,2019-05-16,FALSE,"Sifo"
"2019-maj","Novus",0.18,0.035,0.088,0.107,0.264,0.088,0.046,0.178,NA,7.2,3404,2019-05-10,2019-04-08,2019-05-05,FALSE,"Novus"
"2019-maj","Demoskop",0.157,0.031,0.091,0.115,0.266,0.087,0.043,0.192,NA,7.5,1618,2019-05-10,2019-04-29,2019-05-07,FALSE,"Demoskop"
"2019-apr","Inizio",0.157,0.042,0.093,0.114,0.256,0.095,0.039,0.186,NA,NA,2111,2019-04-30,2019-04-22,2019-04-29,FALSE,"Inizio"
"2019-apr","Ipsos",0.16,0.04,0.08,0.12,0.27,0.1,0.04,0.17,NA,12,1486,2019-04-24,2019-04-09,2019-04-22,FALSE,"Ipsos"
"2019-apr","Sentio",0.175,0.038,0.064,0.107,0.256,0.093,0.043,0.201,NA,NA,789,2019-04-13,2019-04-04,2019-04-10,FALSE,"Sentio"
"2019-apr","Sifo",0.16,0.034,0.075,0.122,0.273,0.087,0.046,0.189,NA,14.4,8278,2019-04-12,2019-04-01,2019-04-11,FALSE,"Sifo"
"2019-apr","Demoskop",0.166,0.039,0.082,0.117,0.254,0.096,0.045,0.18,NA,NA,1616,2019-04-07,2019-03-26,2019-04-03,FALSE,"Demoskop"
"2019-apr","Novus",0.175,0.037,0.082,0.106,0.272,0.097,0.035,0.181,NA,6.1,3668,2019-04-03,2019-03-04,2019-03-31,FALSE,"Novus"
"2019-mar","Skop",0.18,0.042,0.095,0.101,0.287,0.088,0.031,0.165,NA,6,1510,2019-03-29,2019-03-07,2019-03-27,FALSE,"Skop"
"2019-mar","Inizio",0.165,0.033,0.091,0.121,0.265,0.086,0.042,0.182,NA,NA,2980,2019-03-29,2019-03-23,2019-03-29,FALSE,"Inizio"
"2019-mar","Sentio",0.174,0.031,0.061,0.127,0.247,0.102,0.039,0.192,NA,NA,1002,2019-03-28,2019-03-22,2019-03-27,FALSE,"Sentio"
"2019-mar","Ipsos",0.18,0.04,0.08,0.09,0.27,0.1,0.04,0.19,NA,NA,NA,2019-03-27,2019-03-12,2019-03-25,FALSE,"Ipsos"
"2019-mar","Sifo",0.175,0.033,0.083,0.094,0.274,0.098,0.038,0.191,NA,14,9059,2019-03-15,2019-03-04,2019-03-14,FALSE,"Sifo"
"2019-mar","Novus",0.183,0.035,0.073,0.086,0.282,0.091,0.04,0.193,NA,NA,3707,2019-03-06,2019-02-04,2019-03-03,FALSE,"Novus"
"2019-mar","Demoskop",0.184,0.03,0.075,0.106,0.258,0.093,0.041,0.194,NA,NA,1611,2019-03-10,2019-02-26,2019-03-05,FALSE,"Demoskop"
"2019-feb","Sentio",0.183,0.026,0.055,0.094,0.265,0.105,0.034,0.214,NA,NA,1151,2019-02-27,2019-02-22,2019-02-25,TRUE,"Sentio"
"2019-feb","Ipsos",0.17,0.04,0.08,0.09,0.28,0.1,0.04,0.19,NA,NA,NA,2019-02-21,2019-02-07,2019-02-20,FALSE,"Ipsos"
